trip_history_id,trip_origin,trip_destination,trip_mode,actual_origin_latitude,actual_origin_longitude,actual_destination_latitude,actual_destination_longitude,actual_departure_time,actual_arrival_time,actual_travel_time,actual_distance,fuel_economy,fes,average_speed,total_mileage
823667af-f3e7-4dc1-9aac-247f4ddaabc1,"Saint Marys Street (39.0325438091895, -76.9092537649692)","Pizza Boli's (38.9913684, -76.9326738)",drive,39.03497839,-76.9119475,38.9902608,-76.92905686,2018-05-06 17:31:22.86+00,2018-05-06 17:44:56.579+00,13,4676.455516,12840.55763,100,20.13246,2.909598089
720bb41b-40be-4608-8397-fe09357f4e9f,"4814-4858 Berwyn House Road (38.9902607989223, -76.9290568554335)","5342 S Center Dr (39.002088, -76.914318)",drive,38.9902608,-76.92905686,39.00240679,-76.91520684,2018-05-06 18:18:55.967+00,2018-05-06 18:26:57.731+00,8,1776.460661,4444.038775,100,24.22606003,1.102424773
4654dff4-db57-499f-a082-7f2187a6e87e,"5314 South Center Drive (39.002517066001, -76.9153097738297)","Lake Artemesia Natural Area (38.9913743, -76.9217353)",drive,39.00268085,-76.91535638,38.99257402,-76.92123472,2018-05-06 22:37:41.423+00,2018-05-06 22:44:30.121+00,6,2554.127923,18.89881191,69.21249097,15.71917721,1.586886796
c2b37d6c-78a1-4445-b36d-5eb5a563cf83,"8314-8324 55th Avenue (38.9924952853834, -76.9212429039897)","IKEA College Park Home Furnishings (39.020775, -76.928983)",drive,38.99382408,-76.92089309,39.02204321,-76.92956924,2018-05-06 22:45:45.252+00,2018-05-06 22:54:59.143+00,9,5457.263624,24.39953487,88.07718919,22.44546435,3.390412899
609d9a56-09f9-4436-bdcd-c2347109682b,"10200 Baltimore Avenue (39.0212934511146, -76.9290261716367)","5342 S Center Dr (39.002088, -76.914318)",drive,39.02113105,-76.92931342,39.00253445,-76.91592366,2018-05-06 22:55:33.514+00,2018-05-06 23:07:09.345+00,11,4668.209083,21.5202661,100,19.16342932,2.900911451
57e5afab-601e-4042-a635-5f945a119cc0,"5301 Smiths Cove Lane (39.0025815833702, -76.9152177174546)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.00277951,-76.9150397,38.9931044,-76.93726406,2018-05-07 12:37:00.513+00,2018-05-07 12:44:41.145+00,7,4060.020038,25.02515741,98.7260835,27.25887631,2.517810022
28f28300-f614-4576-a3cb-db4384634070,"4467 Technology Drive (38.9927943935981, -76.9384678826453)","5342 S Center Dr (39.002088, -76.914318)",drive,38.99275148,-76.93849881,39.00253204,-76.91591719,2018-05-07 16:39:18.905+00,2018-05-07 16:48:15.211+00,8,4182.398724,24.57363875,91.04065957,26.99330687,2.59319269
69ff275f-5fa6-4c2a-aedd-b3a9782fce9c,"5316 South Center Drive (39.0024342256738, -76.9152050875032)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.00246498,-76.91509637,38.99312388,-76.93726444,2018-05-07 17:14:08.188+00,2018-05-07 17:22:09.152+00,8,4202.372717,23.74504277,76.93689815,27.86928068,2.608917771
3588da5c-2e64-495d-a9d9-aad2a2e092a3,"4467 Technology Drive (38.9927262888527, -76.9385453422485)","5342 S Center Dr (39.002088, -76.914318)",drive,38.99274914,-76.93866099,39.00253661,-76.91592944,2018-05-07 21:49:10.35+00,2018-05-07 21:57:31.161+00,8,4284.114992,23.87027133,79.06844824,24.2711021,2.659052744
4845dfcf-8fbc-40cf-be40-864827db624b," (38.99403353679, -76.938622786781)","Westchester Park Drive (38.9905135, -76.902163)",drive,38.9941148,-76.93865383,38.99046702,-76.90613637,2018-05-07 22:18:46.353+00,2018-05-07 22:30:19.65+00,11,3026.4517,17.85485831,100,0.966363489,1.876044071
